model,average,precision,recall_sensitivity,specificity,f1,dice,iou,roc_auc,average_precision,pr_auc,hd95,asd,architecture,variation,contrastive_label,contrastive_weight,handle,checkpoint_path
ResNet-UNet cw0,foreground_macro,0.8399768253449904,0.805336433374132,0.9994872344264074,0.8208686254813813,0.8208686254813813,0.7123011670446922,0.9861145997649698,0.8651013785224739,0.8648787269275817,7.6536750622107235,2.482230935051094,ResNetUNet,resnet-unet,cw0,0.0,tensura3607/abdominal-multi-organ-segmentation/pyTorch/resnet-unet,/kaggle/input/models/tensura3607/abdominal-multi-organ-segmentation/pytorch/resnet-unet/3/best_resnet_unet.pt
ResNet-UNet cw0,foreground_weighted,0.8963888026042977,0.8944964539185442,0.998688058976743,0.8943627989540275,0.8943627989540275,0.8182246680471125,0.9930691041877882,0.941811731587169,0.9417783362486785,9.555151018935033,2.6171703578232433,ResNetUNet,resnet-unet,cw0,0.0,tensura3607/abdominal-multi-organ-segmentation/pyTorch/resnet-unet,/kaggle/input/models/tensura3607/abdominal-multi-organ-segmentation/pytorch/resnet-unet/3/best_resnet_unet.pt
ResNet-UNet cw0,foreground_micro,0.8993217535362141,0.8944964539185442,,0.8969026137953717,0.8969026137953717,0.8130765470139489,,,,,,ResNetUNet,resnet-unet,cw0,0.0,tensura3607/abdominal-multi-organ-segmentation/pyTorch/resnet-unet,/kaggle/input/models/tensura3607/abdominal-multi-organ-segmentation/pytorch/resnet-unet/3/best_resnet_unet.pt
ResNet-UNet cw001,foreground_macro,0.8642805663181901,0.779449598089645,0.9995368105266449,0.8124904544681348,0.8124904544681348,0.7044614862820542,0.9711095977712894,0.8463295428532176,0.8461291336972319,7.093157862798312,2.383515002471502,ResNetUNet,resnet-unet-cw001,cw010,0.01,tensura3607/abdominal-multi-organ-segmentation/pyTorch/resnet-unet-cw001,/kaggle/input/models/tensura3607/abdominal-multi-organ-segmentation/pytorch/resnet-unet-cw001/1/best_resnet_unet.pt
ResNet-UNet cw001,foreground_weighted,0.9043760289983817,0.8907972883683122,0.9987011297200831,0.8941598091486089,0.8941598091486089,0.8185019892815505,0.988561769134891,0.9351516936206584,0.9351204664421893,8.224616010188626,2.3293591542166587,ResNetUNet,resnet-unet-cw001,cw010,0.01,tensura3607/abdominal-multi-organ-segmentation/pyTorch/resnet-unet-cw001,/kaggle/input/models/tensura3607/abdominal-multi-organ-segmentation/pytorch/resnet-unet-cw001/1/best_resnet_unet.pt
ResNet-UNet cw001,foreground_micro,0.907920810160259,0.8907972883683122,,0.8992775426071838,0.8992775426071837,0.8169884575056484,,,,,,ResNetUNet,resnet-unet-cw001,cw010,0.01,tensura3607/abdominal-multi-organ-segmentation/pyTorch/resnet-unet-cw001,/kaggle/input/models/tensura3607/abdominal-multi-organ-segmentation/pytorch/resnet-unet-cw001/1/best_resnet_unet.pt
ResNet-UNet cw003,foreground_macro,0.828717678528605,0.7906464802155821,0.9993892353455187,0.8012037142829124,0.8012037142829123,0.6890314322620539,0.9857407621250383,0.8518165173255963,0.8515642362597114,7.937491060031505,2.7592707170956277,ResNetUNet,resnet-unet-cw003,cw030,0.03,tensura3607/abdominal-multi-organ-segmentation/pyTorch/resnet-unet-cw003,/kaggle/input/models/tensura3607/abdominal-multi-organ-segmentation/pytorch/resnet-unet-cw003/1/best_resnet_unet.pt
ResNet-UNet cw003,foreground_weighted,0.8786511551436978,0.8849942381284385,0.9986825955983389,0.8784894048129457,0.8784894048129455,0.7982065487916308,0.9934925472456017,0.9298401365047813,0.9297995094432165,9.107876318239143,2.7970183033630853,ResNetUNet,resnet-unet-cw003,cw030,0.03,tensura3607/abdominal-multi-organ-segmentation/pyTorch/resnet-unet-cw003,/kaggle/input/models/tensura3607/abdominal-multi-organ-segmentation/pytorch/resnet-unet-cw003/1/best_resnet_unet.pt
ResNet-UNet cw003,foreground_micro,0.8810157265059969,0.8849942381284385,,0.8830005008717426,0.8830005008717426,0.79051109831371,,,,,,ResNetUNet,resnet-unet-cw003,cw030,0.03,tensura3607/abdominal-multi-organ-segmentation/pyTorch/resnet-unet-cw003,/kaggle/input/models/tensura3607/abdominal-multi-organ-segmentation/pytorch/resnet-unet-cw003/1/best_resnet_unet.pt
ResNet-UNet cw005,foreground_macro,0.8221292131570521,0.7950650386051368,0.9994932043496645,0.8053413456499803,0.8053413456499803,0.6942006204767068,0.9728630605326748,0.8496266138333768,0.8493553325919257,7.165960331080827,2.4187147231735127,ResNetUNet,resnet-unet-cw005,cw050,0.05,tensura3607/abdominal-multi-organ-segmentation/pyTorch/resnet-unet-cw005,/kaggle/input/models/tensura3607/abdominal-multi-organ-segmentation/pytorch/resnet-unet-cw005/1/best_resnet_unet.pt
ResNet-UNet cw005,foreground_weighted,0.8985778357353602,0.8903490380220654,0.9987595765742259,0.8909376776090044,0.8909376776090044,0.8144342834677449,0.9900300323963731,0.9363709122989708,0.9363337576192542,8.17157390804266,2.5125707964577373,ResNetUNet,resnet-unet-cw005,cw050,0.05,tensura3607/abdominal-multi-organ-segmentation/pyTorch/resnet-unet-cw005,/kaggle/input/models/tensura3607/abdominal-multi-organ-segmentation/pytorch/resnet-unet-cw005/1/best_resnet_unet.pt
ResNet-UNet cw005,foreground_micro,0.8999083389330779,0.8903490380220654,,0.8951031669422094,0.8951031669422094,0.810123751070062,,,,,,ResNetUNet,resnet-unet-cw005,cw050,0.05,tensura3607/abdominal-multi-organ-segmentation/pyTorch/resnet-unet-cw005,/kaggle/input/models/tensura3607/abdominal-multi-organ-segmentation/pytorch/resnet-unet-cw005/1/best_resnet_unet.pt
TransUNet cw0,foreground_macro,0.8242233199860421,0.8159470146540706,0.9994532556457205,0.8193650845208929,0.8193650845208929,0.7129031112047207,0.9858977091658796,0.8558267941631111,0.8554996554278804,7.718190261614926,2.581956961326715,TransUNet,transunet,cw0,0.0,tensura3607/abdominal-multi-organ-segmentation/pyTorch/transunet,/kaggle/input/models/tensura3607/abdominal-multi-organ-segmentation/pytorch/transunet/4/best_transunet.pt
TransUNet cw0,foreground_weighted,0.8925649442879581,0.9062242043870695,0.9987809443397091,0.8990373192390009,0.8990373192390009,0.8261654829653966,0.9929209657770647,0.9358660434533074,0.935805321150722,8.71959677325642,2.598962176989228,TransUNet,transunet,cw0,0.0,tensura3607/abdominal-multi-organ-segmentation/pyTorch/transunet,/kaggle/input/models/tensura3607/abdominal-multi-organ-segmentation/pytorch/transunet/4/best_transunet.pt
TransUNet cw0,foreground_micro,0.8944374809970278,0.9062242043870695,,0.900292266081739,0.900292266081739,0.8186650310023698,,,,,,TransUNet,transunet,cw0,0.0,tensura3607/abdominal-multi-organ-segmentation/pyTorch/transunet,/kaggle/input/models/tensura3607/abdominal-multi-organ-segmentation/pytorch/transunet/4/best_transunet.pt
TransUNet cw001,foreground_macro,0.8326673138307494,0.8260002373851469,0.9995599408386875,0.8273127616311255,0.8273127616311254,0.7233509785814198,0.9855834473261058,0.8649879513051113,0.8647103143400173,7.571681068195272,2.335346433592936,TransUNet,transunet-cw001,cw010,0.01,tensura3607/abdominal-multi-organ-segmentation/pyTorch/transunet-cw001,/kaggle/input/models/tensura3607/abdominal-multi-organ-segmentation/pytorch/transunet-cw001/2/best_transunet.pt
TransUNet cw001,foreground_weighted,0.9114145712288857,0.8986432411329103,0.9989913914721152,0.9038893162546263,0.9038893162546263,0.8329611862667764,0.9931358826990918,0.9422676373498723,0.9422316678417185,8.309109197059234,2.355960075694235,TransUNet,transunet-cw001,cw010,0.01,tensura3607/abdominal-multi-organ-segmentation/pyTorch/transunet-cw001,/kaggle/input/models/tensura3607/abdominal-multi-organ-segmentation/pytorch/transunet-cw001/2/best_transunet.pt
TransUNet cw001,foreground_micro,0.912606333940287,0.8986432411329103,,0.905570966140743,0.9055709661407428,0.827436899172394,,,,,,TransUNet,transunet-cw001,cw010,0.01,tensura3607/abdominal-multi-organ-segmentation/pyTorch/transunet-cw001,/kaggle/input/models/tensura3607/abdominal-multi-organ-segmentation/pytorch/transunet-cw001/2/best_transunet.pt
TransUNet cw003,foreground_macro,0.8438422090954326,0.8052836191761712,0.9995830887386556,0.821076311281357,0.821076311281357,0.7152045939655429,0.9890333478456899,0.8656684213228607,0.8654719118685885,7.373560433760879,2.4274695286008376,TransUNet,transunet-cw003,cw030,0.03,tensura3607/abdominal-multi-organ-segmentation/pyTorch/transunet-cw003,/kaggle/input/models/tensura3607/abdominal-multi-organ-segmentation/pytorch/transunet-cw003/2/best_transunet.pt
TransUNet cw003,foreground_weighted,0.9136815959173988,0.8880389455995081,0.9990267446240066,0.8969908836017989,0.8969908836017989,0.8252668125671995,0.9924020084144254,0.9370458080485047,0.9370160828181336,7.871802082537846,2.350448082744435,TransUNet,transunet-cw003,cw030,0.03,tensura3607/abdominal-multi-organ-segmentation/pyTorch/transunet-cw003,/kaggle/input/models/tensura3607/abdominal-multi-organ-segmentation/pytorch/transunet-cw003/2/best_transunet.pt
TransUNet cw003,foreground_micro,0.9159280013694757,0.8880389455995081,,0.9017678931954387,0.9017678931954386,0.821108659643216,,,,,,TransUNet,transunet-cw003,cw030,0.03,tensura3607/abdominal-multi-organ-segmentation/pyTorch/transunet-cw003,/kaggle/input/models/tensura3607/abdominal-multi-organ-segmentation/pytorch/transunet-cw003/2/best_transunet.pt
TransUNet cw005,foreground_macro,0.8202131561238781,0.8423889603856867,0.9994839451519579,0.8296991195476155,0.8296991195476155,0.7229592460908809,0.9870728222573093,0.8675168954835091,0.8672496593313781,7.867697469580859,2.5749926217400043,TransUNet,transunet-cw005,cw050,0.05,tensura3607/abdominal-multi-organ-segmentation/pyTorch/transunet-cw005,/kaggle/input/models/tensura3607/abdominal-multi-organ-segmentation/pytorch/transunet-cw005/2/best_transunet.pt
